episode,reward
0,-0.022
100,0.021
200,0.021
300,-0.016
400,-0.003
500,-0.019
600,0.015
700,0.0
800,0.003
900,-0.011
1000,0.004
1100,0.012
1200,0.026
1300,0.023
1400,0.05
1500,0.037
1600,-0.02
1700,0.031
1800,0.046
1900,0.006
2000,0.027
2100,-0.015
2200,0.021
2300,0.025
2400,-0.022
2500,0.025
2600,-0.042
